row,col,original_red,corrected_red,red_original_dist,red_corrected_dist,red_improvement,original_green,corrected_green,green_original_dist,green_corrected_dist,green_improvement,original_blue,corrected_blue,blue_original_dist,blue_corrected_dist,blue_improvement
0,0,[227   6  18],[220   0   0],20.223748416156685,0.0,100.0,[  5 219  18],[  0 220   0],18.708286933869708,0.0,100.0,[  5   1 230],[  0   0 220],11.224972160321824,0.0,100.0
0,1,[210   4  10],[220   0   0],14.696938456699069,0.0,100.0,[  2 221  11],[  0 220   0],11.224972160321824,0.0,100.0,[  0  10 233],[  0   0 220],16.401219466856727,0.0,100.0
0,2,[208   4   8],[220   0   0],14.966629547095765,0.0,100.0,[  1 223   3],[  0 220   0],4.358898943540674,0.0,100.0,[  0  12 215],[  0   0 220],13.0,0.0,100.0
0,3,[215   0   1],[220   0   0],5.0990195135927845,0.0,100.0,[ 19 233  10],[  0 220   0],25.099800796022265,0.0,100.0,[  4   0 216],[  0   0 220],5.656854249492381,0.0,100.0
0,4,[213  12  14],[220   0   0],19.72308292331602,0.0,100.0,[ 16 205   7],[  0 220   0],23.021728866442675,0.0,100.0,[ 17   8 234],[  0   0 220],23.430749027719962,0.0,100.0
0,5,[226  15   8],[220   0   0],18.027756377319946,0.0,100.0,[  4 238   2],[  0 220   0],18.547236990991408,0.0,100.0,[  7  15 218],[  0   0 220],16.673332000533065,0.0,100.0
0,6,[231   0  14],[220   0   0],17.804493814764857,0.0,100.0,[ 15 233   7],[  0 220   0],21.047565179849187,0.0,100.0,[  2  12 208],[  0   0 220],17.08800749063506,0.0,100.0
0,7,[237  19   4],[220   0   0],25.80697580112788,0.0,100.0,[ 10 219  10],[  0 220   0],14.177446878757825,0.0,100.0,[ 18  13 231],[  0   0 220],24.779023386727733,0.0,100.0
0,8,[208  10  17],[220   0   0],23.08679276123039,0.0,100.0,[  2 207   3],[  0 220   0],13.490737563232042,0.0,100.0,[  8   4 205],[  0   0 220],17.46424919657298,0.0,100.0
0,9,[213   1   6],[220   0   0],9.273618495495704,0.0,100.0,[ 11 235   0],[  0 220   0],18.601075237738275,0.0,100.0,[  0   2 203],[  0   0 220],17.11724276862369,0.0,100.0
0,10,[233  13  11],[220   0   0],21.42428528562855,0.0,100.0,[ 16 227  19],[  0 220   0],25.80697580112788,0.0,100.0,[ 10   6 233],[  0   0 220],17.46424919657298,0.0,100.0
0,11,[217   9   2],[220   0   0],9.695359714832659,0.0,100.0,[ 17 232   4],[  0 220   0],21.18962010041709,0.0,100.0,[  3  12 230],[  0   0 220],15.905973720586866,0.0,100.0
0,12,[209  14  12],[220   0   0],21.470910553583888,0.0,100.0,[ 19 208  12],[  0 220   0],25.475478405713993,0.0,100.0,[ 10  12 220],[  0   0 220],15.620499351813308,0.0,100.0
0,13,[219  18   4],[220   0   0],18.466185312619388,0.0,100.0,[ 10 237  18],[  0 220   0],26.70205984563738,0.0,100.0,[  1  14 229],[  0   0 220],16.673332000533065,0.0,100.0
0,14,[228   2   1],[220   0   0],8.306623862918075,0.0,100.0,[ 11 217  16],[  0 220   0],19.6468827043885,0.0,100.0,[ 14   4 224],[  0   0 220],15.0996688705415,0.0,100.0
0,15,[200   2  12],[220   0   0],23.40939982143925,0.0,100.0,[ 17 223  14],[  0 220   0],22.22611077089287,0.0,100.0,[ 18   7 210],[  0   0 220],21.748563170931547,0.0,100.0
0,16,[225   9   2],[220   0   0],10.488088481701515,0.0,100.0,[ 15 207   2],[  0 220   0],19.949937343260004,0.0,100.0,[  9   7 237],[  0   0 220],20.46948949045872,0.0,100.0
0,17,[206  16  12],[220   0   0],24.413111231467404,0.0,100.0,[ 12 203   5],[  0 220   0],21.400934559032695,0.0,100.0,[  2  15 227],[  0   0 220],16.673332000533065,0.0,100.0
0,18,[208  11  12],[220   0   0],20.223748416156685,0.0,100.0,[ 13 203   1],[  0 220   0],21.42428528562855,0.0,100.0,[  8   4 215],[  0   0 220],10.246950765959598,0.0,100.0
0,19,[221   8  13],[220   0   0],15.297058540778355,0.0,100.0,[ 18 201   4],[  0 220   0],26.476404589747453,0.0,100.0,[  3   2 206],[  0   0 220],14.45683229480096,0.0,100.0
0,20,[203   4   3],[220   0   0],17.72004514666935,0.0,100.0,[  9 213   5],[  0 220   0],12.449899597988733,0.0,100.0,[  6  16 207],[  0   0 220],21.470910553583888,0.0,100.0
0,21,[236  15  17],[220   0   0],27.748873851023216,0.0,100.0,[  9 212  14],[  0 220   0],18.466185312619388,0.0,100.0,[ 19   7 214],[  0   0 220],21.118712081942874,0.0,100.0
0,22,[226  15   5],[220   0   0],16.911534525287763,0.0,100.0,[  9 234   4],[  0 220   0],17.11724276862369,0.0,100.0,[ 13   8 202],[  0   0 220],23.600847442411894,0.0,100.0
0,23,[202   6   0],[220   0   0],18.973665961010276,0.0,100.0,[ 14 238  15],[  0 220   0],27.294688127912362,0.0,100.0,[  7  17 209],[  0   0 220],21.42428528562855,0.0,100.0
0,24,[216  16  19],[220   0   0],25.15949125081825,0.0,100.0,[ 19 221  19],[  0 220   0],26.888659319497503,0.0,100.0,[ 14  15 223],[  0   0 220],20.73644135332772,0.0,100.0
0,25,[210   3   9],[220   0   0],13.784048752090222,0.0,100.0,[ 12 211   7],[  0 220   0],16.55294535724685,0.0,100.0,[  6  18 228],[  0   0 220],20.591260281974,0.0,100.0
0,26,[208   0  18],[220   0   0],21.633307652783937,0.0,100.0,[  2 200  12],[  0 220   0],23.40939982143925,0.0,100.0,[ 11   4 219],[  0   0 220],11.74734012447073,0.0,100.0
0,27,[203  10  16],[220   0   0],25.39685019840059,0.0,100.0,[  5 230  18],[  0 220   0],21.18962010041709,0.0,100.0,[  4  19 239],[  0   0 220],27.16615541441225,0.0,100.0
0,28,[226   4  15],[220   0   0],16.64331697709324,0.0,100.0,[ 12 230   8],[  0 220   0],17.549928774784245,0.0,100.0,[  9  16 215],[  0   0 220],19.026297590440446,0.0,100.0
0,29,[200   5  17],[220   0   0],26.720778431774775,0.0,100.0,[  9 210   9],[  0 220   0],16.186414056238647,0.0,100.0,[ 16  13 202],[  0   0 220],27.367864366808018,0.0,100.0
0,30,[236  16   5],[220   0   0],23.173260452512935,0.0,100.0,[ 19 231   1],[  0 220   0],21.97726097583591,0.0,100.0,[  0  16 219],[  0   0 220],16.0312195418814,0.0,100.0
0,31,[209  11  18],[220   0   0],23.790754506740637,0.0,100.0,[ 11 215   6],[  0 220   0],13.490737563232042,0.0,100.0,[ 13  14 204],[  0   0 220],24.919871588754223,0.0,100.0
0,32,[223  15  10],[220   0   0],18.275666882497067,0.0,100.0,[  9 222  10],[  0 220   0],13.601470508735444,0.0,100.0,[  6   6 229],[  0   0 220],12.36931687685298,0.0,100.0
0,33,[223   5  16],[220   0   0],17.029386365926403,0.0,100.0,[ 11 232  11],[  0 220   0],19.6468827043885,0.0,100.0,[ 14  14 225],[  0   0 220],20.42057785666214,0.0,100.0
